id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
4dK00wCxlqWEeN8BoM1BHT,0.516,0.874,9,-2.571,0.0864,0.391,169.561,48
5ByAIlEEnxYdvpnezg7HTX,0.889,0.818,9,-4.639,0.47,0.782,96.063,28
0Mycps3zl2az8oFUZxU2kD,0.642,0.846,7,-3.856,0.112,0.519,179.548,21
48EQasc6XD0pOQtkIOWqOC,0.833,0.568,7,-4.312,0.0262,0.369,89.958,20
4CKYscH2FY8iXrHehW9SHk,0.945,0.701,8,-3.749,0.0872,0.617,107.036,20
1cA2LExLTdhHLL0FmXoc57,0.727,0.74,2,-3.401,0.012,0.221,82.031,29
0KbIwqCAHmXWu7hrszXY6j,0.934,0.562,4,-4.609,0.0476,0.712,96.792,30
0eK5y1c7WDyWwx6k9SFjbT,0.561,0.774,1,-3.144,0.399,0.82,77.621,54
5Tl0HJvynZtKdSUMKbFVVX,0.884,0.679,10,-5.857,0.0957,0.591,76.993,28
7sLpSWxQazJzDVG6YGzlVs,0.494,0.887,6,-4.297,0.00661,0.548,89.554,66
4gXdMZkBN1neE9nX6yRALa,0.646,0.796,2,-6.152,0.409,0.676,83.093,15
5IweeQZdY5XEzStLzUJG5t,0.78,0.634,1,-5.941,0.0199,0.754,125.25,4
0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1,-7.47,0.0301,0.136,101.019,32
33ZXjLCpiINn8eQIDYEPTD,0.763,0.786,10,-6.472,0.0146,0.504,93.857,24
2sXaZphe2LlqAyZVKvHbU1,0.865,0.884,5,-2.435,0.121,0.788,95.323,3
2aEuXA1KswHlCGPOuPmCOW,0.714,0.665,4,-7.736,0.0996,0.842,78.515,30
3MhdH8PxqH1FuQp3HBptUI,0.765,0.666,7,-5.384,0.102,0.756,87.002,28
1uVfUdVv0h9MWia3tdZo5G,0.658,0.621,1,-5.725,0.0667,0.817,91.267,30
6QdVBqkKNUqCqercvUHMkP,0.675,0.779,6,-1.439,0.161,0.553,95.739,66
4FI0rdztOAYJZMupujL5Gp,0.876,0.573,0,-3.764,0.294,0.756,92.236,30
3uZAWnZVt2xL4X7RfNrCDk,0.775,0.686,1,-5.472,0.0161,0.729,125.241,4
785t3poQsvdkSeH5xGA9R4,0.745,0.858,9,-2.221,0.28,0.547,89.983,59
3WgTbafC5uRpdQdFndQYxE,0.857,0.706,7,-3.082,0.00539,0.322,95.722,20
5203pcq3cNteJuOVhIEnt6,0.572,0.572,6,-8.324,0.254,0.61,94.897,1
34ceTg8ChN5HjrqiIYCn9Q,0.673,0.683,1,-5.693,0.522,0.713,171.86,52
2VarpyoSpCPNKI56WSAEMN,0.809,0.537,8,-5.807,0.518,0.835,109.984,42
